protocol_type,src_bytes,dst_bytes,failed_logins,count,label
tcp,1720,560,0,73,attack
udp,120,62,0,112,attack
tcp,3319,138,0,95,attack
udp,625,561,0,24,normal
udp,7809,303,0,130,attack
udp,915,668,0,65,attack
tcp,1410,337,0,67,attack
tcp,68,123,0,109,attack
udp,1974,657,0,48,attack
tcp,115,302,0,10,normal
tcp,6520,144,0,140,attack
tcp,358,533,0,22,normal
udp,5562,171,0,133,attack
tcp,2960,552,0,67,attack
tcp,1348,574,0,69,attack
udp,2369,231,0,66,attack
udp,150,79,0,142,attack
udp,168,308,0,2,normal
tcp,479,625,0,28,normal
tcp,84,156,0,161,attack
udp,1924,646,0,40,attack
tcp,52,151,0,4,normal
tcp,605,611,0,15,normal
tcp,116,75,0,136,attack
tcp,96,309,0,3,normal
udp,82,62,0,142,attack
tcp,254,189,0,5,normal
tcp,164,76,0,118,attack
udp,3211,369,0,119,attack
tcp,105,147,0,144,attack
udp,49,85,0,5,normal
udp,5094,234,0,136,attack
udp,217,131,0,1,normal
tcp,3975,447,0,126,attack
udp,1263,230,0,40,attack
udp,4781,211,0,81,attack
tcp,654,427,0,12,normal
tcp,106,99,0,161,attack
udp,2312,684,0,61,attack
tcp,123,89,0,157,attack
tcp,179,128,0,104,attack
udp,158,99,0,120,attack
tcp,6160,497,0,112,attack
tcp,2660,398,0,62,attack
udp,1917,311,0,43,attack
udp,81,94,0,109,attack
udp,55,160,0,158,attack
udp,4219,162,0,86,attack
udp,259,232,0,2,normal
udp,1694,265,0,68,attack
tcp,298,183,0,2,normal
udp,184,114,0,177,attack
udp,5496,489,0,104,attack
tcp,480,315,0,16,normal
udp,2116,254,0,42,attack
udp,3725,450,0,89,attack
tcp,3926,256,0,145,attack
tcp,43,288,0,8,normal
tcp,60,245,0,6,normal
tcp,1202,488,0,31,attack
udp,2779,689,0,61,attack
udp,42,61,0,8,normal
tcp,50,158,0,116,attack
tcp,100,157,0,5,normal
tcp,182,210,0,5,normal
udp,1742,668,0,60,attack
udp,286,357,0,11,normal
tcp,972,586,0,58,attack
tcp,2953,370,0,79,attack
udp,3179,269,0,128,attack
udp,2020,710,0,71,attack
tcp,2669,474,0,43,attack
udp,381,321,0,27,normal
tcp,117,96,0,137,attack
udp,262,382,0,6,normal
udp,419,387,0,28,normal
udp,3450,436,0,123,attack
udp,2039,397,0,37,attack
tcp,5327,120,0,95,attack
udp,52,168,0,132,attack
udp,7675,308,0,150,attack
tcp,3349,358,0,94,attack
tcp,97,96,0,186,attack
tcp,2368,378,0,75,attack
tcp,591,366,0,10,normal
tcp,120,199,0,115,attack
udp,242,448,0,23,normal
tcp,6366,336,0,148,attack
udp,6158,250,0,92,attack
udp,2007,202,0,65,attack
tcp,2955,545,0,78,attack
tcp,51,97,0,126,attack
tcp,2386,664,0,74,attack
tcp,5593,409,0,92,attack
udp,515,303,0,20,normal
tcp,165,115,0,184,attack
udp,277,278,0,25,normal
tcp,2609,583,0,58,attack
tcp,127,187,0,164,attack
udp,1273,605,0,69,attack
udp,136,146,0,174,attack
tcp,236,387,0,1,normal
udp,67,303,0,4,normal
tcp,262,143,0,10,normal
tcp,296,235,0,5,normal
udp,460,313,0,23,normal
tcp,278,365,0,1,normal
udp,225,317,0,8,normal
tcp,288,393,0,3,normal
udp,983,691,0,71,attack
udp,445,459,0,18,normal
tcp,271,373,0,8,normal
tcp,418,396,0,12,normal
udp,97,125,0,125,attack
udp,641,602,0,24,normal
udp,3616,254,0,99,attack
tcp,6786,444,0,145,attack
tcp,238,515,0,30,normal
udp,686,372,0,18,normal
udp,64,172,0,2,normal
tcp,346,446,0,19,normal
udp,177,134,0,116,attack
tcp,5781,228,0,121,attack
udp,664,616,0,28,normal
tcp,2881,761,0,34,attack
tcp,403,383,0,17,normal
tcp,2497,507,0,50,attack
udp,197,116,0,143,attack
tcp,352,216,0,24,normal
udp,131,138,0,101,attack
tcp,167,344,0,8,normal
tcp,41,321,0,4,normal
udp,588,470,0,29,normal
tcp,198,193,0,1,normal
tcp,225,554,0,30,normal
tcp,174,90,0,119,attack
udp,2021,394,0,32,attack
udp,286,129,0,7,normal
udp,4078,268,0,116,attack
udp,562,271,0,17,normal
tcp,439,608,0,10,normal
tcp,132,84,0,125,attack
udp,5622,184,0,108,attack
udp,2284,641,0,80,attack
udp,115,204,0,7,normal
tcp,184,120,0,171,attack
