packet_size,packet_rate,protocol,label
964,31,3,normal
49,89,2,scan
483,46,3,normal
77,43,4,icmp_flood
520,28,2,normal
103,37,4,icmp_flood
1871,195,3,dos
125,55,1,scan
996,8,2,normal
1992,163,2,dos
1475,100,1,dos
177,16,3,normal
733,8,2,normal
970,43,2,normal
3099,113,3,dos
154,69,2,scan
1545,33,3,normal
75,56,2,scan
3656,45,2,normal
2332,50,2,normal
116,66,4,icmp_flood
559,31,3,normal
94,80,4,icmp_flood
111,50,4,icmp_flood
787,30,2,normal
107,67,4,icmp_flood
565,1,3,normal
1521,119,1,dos
115,86,1,scan
1525,199,2,dos
87,56,4,icmp_flood
119,86,1,scan
93,60,4,icmp_flood
95,45,4,icmp_flood
118,33,4,icmp_flood
3747,251,2,dos
102,100,2,scan
99,69,4,icmp_flood
109,88,1,scan
724,42,2,normal
3464,252,1,dos
77,58,4,icmp_flood
187,40,1,scan
90,33,4,icmp_flood
1929,109,2,dos
1718,143,3,dos
4982,203,2,dos
76,26,4,icmp_flood
194,54,3,scan
200,18,1,normal
4931,194,2,dos
98,47,4,icmp_flood
127,61,2,scan
120,46,4,icmp_flood
114,77,4,icmp_flood
785,3,3,normal
4984,186,2,dos
98,52,4,icmp_flood
80,72,4,icmp_flood
99,55,4,icmp_flood
52,75,2,scan
4031,132,3,dos
53,3,3,normal
4588,197,1,dos
79,58,4,icmp_flood
293,19,2,normal
137,93,3,scan
2936,236,2,dos
530,13,1,normal
102,51,4,icmp_flood
798,8,3,normal
192,48,1,scan
77,44,4,icmp_flood
2912,237,3,dos
1709,196,3,dos
1050,23,1,normal
40,72,2,scan
84,54,4,icmp_flood
136,4,1,normal
4478,120,1,dos
211,3,2,normal
1543,144,2,dos
163,99,1,scan
2167,152,2,dos
71,48,2,scan
128,69,1,scan
82,59,4,icmp_flood
755,32,2,normal
185,88,2,scan
289,5,1,normal
4080,139,1,dos
113,36,4,icmp_flood
83,55,4,icmp_flood
113,78,4,icmp_flood
87,39,4,icmp_flood
466,7,1,normal
87,55,4,icmp_flood
120,40,4,icmp_flood
113,42,1,scan
1682,187,2,dos
188,66,3,scan
101,18,4,icmp_flood
121,45,3,scan
3464,287,1,dos
85,12,3,normal
4730,2,2,normal
4474,138,2,dos
46,40,2,scan
94,78,4,icmp_flood
1160,41,2,normal
115,40,4,icmp_flood
3500,33,3,normal
3679,227,1,dos
2045,157,1,dos
166,90,3,scan
2831,111,3,dos
4990,213,2,dos
981,22,2,normal
3010,121,2,dos
2729,116,1,dos
4226,10,3,normal
74,76,4,icmp_flood
3183,283,2,dos
85,64,4,icmp_flood
124,72,1,scan
227,23,3,normal
1488,157,2,dos
2118,215,1,dos
77,78,4,icmp_flood
360,31,1,normal
2895,205,2,dos
77,17,4,icmp_flood
106,19,4,icmp_flood
1674,145,2,dos
3716,293,2,dos
2823,120,2,dos
3395,105,3,dos
111,18,4,icmp_flood
3924,26,2,normal
44,93,3,scan
4818,283,3,dos
182,19,1,normal
388,26,3,normal
104,45,4,icmp_flood
50,80,2,scan
4805,197,2,dos
1692,244,2,dos
120,38,4,icmp_flood
1072,7,1,normal
185,50,3,scan
872,16,3,normal
